Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0212410555532523,0.00475458359568469,-0.127580557949736,0,0,0,22.9189568638279,0.607716166684979,1.92178193996147E-05,-0.036532069356182,1.70041426855404,2.16963122007266E-05,1.84232351935185,0,0,0,0,0,0,package://bunker_11/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://bunker_11/meshes/base_link.STL,,BUNKER-1/T600-1/总车体-1/新车壳-1/车头钢板-1;BUNKER-1/T600-1/总车体-1/新车壳-1/车尾钢板-1;BUNKER-1/航插接头LP20-4-1;BUNKER-1/T600-1/单边履带组-1/单边履带支撑架-1/前从动支架总装-1/孔距125电动车弹簧-1/避震杆02-1;BUNKER-1/T600-1/单边履带组-1/单边履带支撑架-1/履带支架钢板-1;BUNKER-1/T600-1/单边履带组-1/单边履带支撑架-1/前从动支架总装-1/孔距125电动车弹簧-1/避震弹簧-1;BUNKER-1/T600-1/单边履带组-1/单边履带支撑架-1/后从动支架总装-1/后从动支架-1/后挡板-1;BUNKER-1/T600-1/单边履带组-1/单边履带支撑架-1/后从动支架总装-1/后从动支架-2/后挡板-1;BUNKER-1/T600-1/单边履带组-1/单边履带支撑架-1/后从动支架总装-2/后从动支架-1/后挡板-1;BUNKER-1/T600-1/单边履带组-1/单边履带支撑架-1/后从动支架总装-2/后从动支架-2/后挡板-1;BUNKER-1/T600-1/单边履带组-1/单边履带支撑架-1/后从动支架总装-2/孔距125电动车弹簧-1/避震杆02-1;BUNKER-1/T600-1/单边履带组-1/单边履带支撑架-1/后从动支架总装-2/孔距125电动车弹簧-1/避震衬套-2;BUNKER-1/T600-1/单边履带组-1/单边履带支撑架-1/后从动支架总装-2/孔距125电动车弹簧-1/避震衬套-1;BUNKER-1/T600-1/单边履带组-1/单边履带支撑架-1/后从动支架总装-2/孔距125电动车弹簧-1/避震弹簧-1;BUNKER-1/T600-1/总车体-1/新车壳-1/底部钢板-1;BUNKER-1/T600-1/单边履带组-1/单边履带支撑架-1/85轮带螺柱-5/小小衬套-1;BUNKER-1/T600-1/单边履带组-1/单边履带支撑架-1/85轮带螺柱-5/85从动轮-1;BUNKER-1/lv-01-02-5;BUNKER-1/T600-1/单边履带组-1/单边履带支撑架-1/85轮带螺柱-5/螺帽 +螺柱-1;BUNKER-1/T600-1/总车体-1/大轴承座-1;BUNKER-1/T600-1/总车体-1/小轴承座-1;BUNKER-1/T600-1/总车体-1/大轴承座-2;BUNKER-1/T600-1/总车体-1/小轴承座-2;BUNKER-1/T600-1/单边履带组-1/单边履带支撑架-1/后从动支架总装-1/孔距125电动车弹簧-1/避震弹簧-1;BUNKER-1/T600-1/单边履带组-1/单边履带支撑架-1/后从动支架总装-1/孔距125电动车弹簧-1/避震衬套-2;BUNKER-1/T600-1/单边履带组-1/单边履带支撑架-1/后从动支架总装-1/孔距125电动车弹簧-1/避震杆02-1;BUNKER-1/T600-1/单边履带组-1/单边履带支撑架-1/后从动支架总装-1/孔距125电动车弹簧-1/避震杆01-1;BUNKER-1/T600-1/单边履带组-1/单边履带支撑架-1/后从动支架总装-1/孔距125电动车弹簧-1/避震衬套-1;BUNKER-1/T600-1/单边履带组-1/单边履带支撑架-1/上衬套-3;BUNKER-1/T600-1/单边履带组-1/履带-车体 长衬套-2;BUNKER-1/T600-1/单边履带组-1/单边履带支撑架-1/履带支架钢板-2;BUNKER-1/T600-1/单边履带组-1/单边履带支撑架-1/前从动支架总装-1/孔距125电动车弹簧-1/避震上衬套-2;BUNKER-1/T600-1/单边履带组-1/单边履带支撑架-1/前从动支架总装-1/孔距125电动车弹簧-1/避震杆01-1;BUNKER-1/T600-1/单边履带组-1/单边履带支撑架-1/前从动支架总装-1/孔距125电动车弹簧-1/避震上衬套-1;BUNKER-1/T600-1/单边履带组-1/单边履带支撑架-1/前从动支架总装-1/孔距125电动车弹簧-1/避震衬套-1;BUNKER-1/T600-1/单边履带组 - 镜像-1/单边履带支撑架-1/履带支架钢板-2;BUNKER-1/T600-1/单边履带组 - 镜像-1/单边履带支撑架-1/后从动支架总装-1/后从动支架-1/后挡板-1;BUNKER-1/T600-1/单边履带组 - 镜像-1/单边履带支撑架-1/后从动支架总装-1/后从动支架-2/后挡板-1;BUNKER-1/T600-1/单边履带组 - 镜像-1/单边履带支撑架-1/后从动支架总装-2/后从动支架-1/后挡板-1;BUNKER-1/T600-1/单边履带组 - 镜像-1/单边履带支撑架-1/后从动支架总装-2/后从动支架-2/后挡板-1;BUNKER-1/T600-1/单边履带组 - 镜像-1/单边履带支撑架-1/后从动支架总装-2/孔距125电动车弹簧-1/避震杆02-1;BUNKER-1/T600-1/单边履带组 - 镜像-1/单边履带支撑架-1/后从动支架总装-2/孔距125电动车弹簧-1/避震衬套-1;BUNKER-1/T600-1/单边履带组 - 镜像-1/单边履带支撑架-1/后从动支架总装-2/孔距125电动车弹簧-1/避震弹簧-1;BUNKER-1/T600-1/单边履带组 - 镜像-1/单边履带支撑架-1/后从动支架总装-1/孔距125电动车弹簧-1/避震弹簧-1;BUNKER-1/T600-1/单边履带组 - 镜像-1/单边履带支撑架-1/后从动支架总装-1/孔距125电动车弹簧-1/避震杆02-1;BUNKER-1/T600-1/单边履带组 - 镜像-1/单边履带支撑架-1/后从动支架总装-1/孔距125电动车弹簧-1/避震衬套-2;BUNKER-1/T600-1/单边履带组 - 镜像-1/单边履带支撑架-1/后从动支架总装-1/孔距125电动车弹簧-1/避震衬套-1;BUNKER-1/T600-1/单边履带组 - 镜像-1/单边履带支撑架-1/上衬套-3;BUNKER-1/T600-1/单边履带组 - 镜像-1/单边履带支撑架-1/前从动支架总装-1/孔距125电动车弹簧-1/避震杆01-1;BUNKER-1/T600-1/单边履带组 - 镜像-1/单边履带支撑架-1/前从动支架总装-1/孔距125电动车弹簧-1/避震弹簧-1;BUNKER-1/T600-1/单边履带组 - 镜像-1/单边履带支撑架-1/前从动支架总装-1/孔距125电动车弹簧-1/避震杆02-1;BUNKER-1/T600-1/单边履带组 - 镜像-1/单边履带支撑架-1/前从动支架总装-1/孔距125电动车弹簧-1/避震衬套-1;BUNKER-1/T600-1/单边履带组 - 镜像-1/单边履带支撑架-1/前从动支架总装-1/孔距125电动车弹簧-1/避震衬套-2;BUNKER-1/T600-1/单边履带组 - 镜像-1/单边履带支撑架-1/前从动支架总装-1/前从动支架-对称-1/前挡板-1;BUNKER-1/T600-1/单边履带组 - 镜像-1/单边履带支撑架-1/前从动支架总装-1/前从动支架-1/前挡板-1;BUNKER-1/T600-1/单边履带组 - 镜像-1/单边履带支撑架-1/上衬套-4;BUNKER-1/T600-1/单边履带组 - 镜像-1/单边履带支撑架-1/85轮带螺柱-2/85从动轮-1;BUNKER-1/T600-1/单边履带组 - 镜像-1/单边履带支撑架-1/85轮带螺柱-2/小小衬套-1;BUNKER-1/lv-01-02-2;BUNKER-1/T600-1/单边履带组 - 镜像-1/单边履带支撑架-1/履带支架钢板-1;BUNKER-1/T600-1/单边履带组 - 镜像-1/单边履带支撑架-1/后从动支架总装-2/孔距125电动车弹簧-1/避震上衬套-1;BUNKER-1/T600-1/单边履带组 - 镜像-1/单边履带支撑架-1/后从动支架总装-2/孔距125电动车弹簧-1/避震杆01-1;BUNKER-1/T600-1/总车体-1/大轴承座-3;BUNKER-1/T600-1/单边履带组 - 镜像-1/单边履带支撑架-1/后从动支架总装-1/孔距125电动车弹簧-1/避震上衬套-1;BUNKER-1/T600-1/单边履带组 - 镜像-1/单边履带支撑架-1/后从动支架总装-1/孔距125电动车弹簧-1/避震杆01-1;BUNKER-1/T600-1/单边履带组 - 镜像-1/单边履带支撑架-1/后从动支架总装-1/孔距125电动车弹簧-1/避震上衬套-2;BUNKER-1/T600-1/单边履带组 - 镜像-1/单边履带支撑架-1/后从动支架总装-2/孔距125电动车弹簧-1/避震上衬套-2;BUNKER-1/T600-1/单边履带组 - 镜像-1/单边履带支撑架-1/上衬套长-3;BUNKER-1/T600-1/单边履带组 - 镜像-1/单边履带支撑架-1/85轮带螺柱-5/85从动轮-1;BUNKER-1/T600-1/单边履带组 - 镜像-1/履带-车体 长衬套-2;BUNKER-1/T600-1/单边履带组 - 镜像-1/履带-车体 长衬套-1;BUNKER-1/T600-1/总车体-1/大轴承座-4;BUNKER-1/T600-1/单边履带组 - 镜像-1/单边履带支撑架-1/前从动支架总装-1/孔距125电动车弹簧-1/避震上衬套-1;BUNKER-1/T600-1/单边履带组 - 镜像-1/单边履带支撑架-1/前从动支架总装-1/孔距125电动车弹簧-1/避震上衬套-2;BUNKER-1/T600-1/单边履带组-1/单边履带支撑架-1/后从动支架总装-2/孔距125电动车弹簧-1/避震杆01-1;BUNKER-1/T600-1/单边履带组-1/单边履带支撑架-1/后从动支架总装-2/孔距125电动车弹簧-1/避震上衬套-2;BUNKER-1/T600-1/单边履带组-1/单边履带支撑架-1/后从动支架总装-2/孔距125电动车弹簧-1/避震上衬套-1;BUNKER-1/T600-1/单边履带组-1/单边履带支撑架-1/上衬套-4;BUNKER-1/T600-1/单边履带组-1/履带-车体 长衬套-1;BUNKER-1/T600-1/单边履带组-1/单边履带支撑架-1/上衬套长-3;BUNKER-1/T600-1/单边履带组-1/单边履带支撑架-1/85轮带螺柱-2/85从动轮-1;BUNKER-1/T600-1/单边履带组-1/单边履带支撑架-1/后从动支架总装-1/孔距125电动车弹簧-1/避震上衬套-2;BUNKER-1/T600-1/单边履带组-1/单边履带支撑架-1/后从动支架总装-1/孔距125电动车弹簧-1/避震上衬套-1;BUNKER-1/T600-1/单边履带组 - 镜像-1/单边履带支撑架-1/后从动支架总装-2/六角头螺栓头-2;BUNKER-1/T600-1/单边履带组 - 镜像-1/单边履带支撑架-1/后从动支架总装-1/六角头螺栓头-2;BUNKER-1/T600-1/单边履带组 - 镜像-1/单边履带支撑架-1/前从动支架总装-1/六角头螺栓头-2;BUNKER-1/T600-1/单边履带组 - 镜像-1/单边履带支撑架-1/六角头螺栓头-6;BUNKER-1/T600-1/单边履带组 - 镜像-1/单边履带支撑架-1/上衬套-2;BUNKER-1/T600-1/总车体-1/小轴承座-4;BUNKER-1/T600-1/单边履带组 - 镜像-1/单边履带支撑架-1/85轮带螺柱-2/螺帽 +螺柱-1;BUNKER-1/T600-1/单边履带组-1/履带-1;BUNKER-1/T600-1/单边履带组-1/单边履带支撑架-1/后从动支架总装-2/六角头螺栓头-1;BUNKER-1/T600-1/单边履带组-1/单边履带支撑架-1/后从动支架总装-1/六角头螺栓头-1;BUNKER-1/T600-1/单边履带组-1/单边履带支撑架-1/六角头螺栓头-1;BUNKER-1/T600-1/单边履带组-1/单边履带支撑架-1/85轮带螺柱-2/小小衬套-1;BUNKER-1/T600-1/单边履带组-1/单边履带支撑架-1/85轮带螺柱-2/螺帽 +螺柱-1;BUNKER-1/T600-1/单边履带组-1/单边履带支撑架-1/85轮带螺柱-6/85从动轮-1;BUNKER-1/lv-01-02-6;BUNKER-1/T600-1/单边履带组-1/单边履带支撑架-1/85轮带螺柱-6/螺帽 +螺柱-1;BUNKER-1/T600-1/单边履带组-1/单边履带支撑架-1/85轮带螺柱-1/85从动轮-1;BUNKER-1/T600-1/单边履带组-1/单边履带支撑架-1/85轮带螺柱-1/螺帽 +螺柱-1;BUNKER-1/T600-1/单边履带组-1/履带-车体 短衬套-2;BUNKER-1/T600-1/单边履带组 - 镜像-1/单边履带支撑架-1/85轮带螺柱-4/螺帽 +螺柱-1;BUNKER-1/T600-1/总车体-1/小轴承座-3;M-D016-240205-A-1;散热扇-1;示教器挂钩-1;散热扇-2;BUNKER-1/T600-1/总车体-1/车体钢架_默认_按加工_-1;BUNKER-1/T600-1/单边履带组-1/单边履带支撑架-1/前从动支架总装-1/六角头螺栓头-2;BUNKER-1/T600-1/单边履带组-1/单边履带支撑架-1/前从动支架总装-1/前从动支架-1/102带螺柱-1/102轮-1;BUNKER-1/T600-1/单边履带组 - 镜像-1/履带-1;BUNKER-1/T600-1/单边履带组-1/单边履带支撑架-1/前从动支架总装-1/前从动支架-1/前挡板-1;BUNKER-1/T600-1/单边履带组-1/单边履带支撑架-1/前从动支架总装-1/前从动支架-对称-1/前挡板-1;725-海坦平面锁-1;725-海坦平面锁-2;BUNKER-1/侧风口-1;BUNKER-1/镜向侧风口-1;BUNKER-1/上出风口-1;BUNKER-1/上出风口-2;BUNKER-1/上出风口-4;BUNKER-1/上出风口-3,坐标系base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
wheel1_Link,0,-1.38777878078145E-17,-0.0719999999999999,0,0,0,0.392034219968119,0.000378440530116381,5.60822736805661E-21,3.04207802822425E-20,0.000378440530116381,-7.56626980356474E-21,0.000710150518820894,0,0,0,0,0,0,package://bunker_11/meshes/wheel1_Link.STL,1,1,1,1,0,0,0,0,0,0,package://bunker_11/meshes/wheel1_Link.STL,,BUNKER-1/T600-1/单边履带组-1/单边履带支撑架-1/125带螺柱-1/螺帽 +螺柱-1;BUNKER-1/T600-1/单边履带组-1/单边履带支撑架-1/125带螺柱-1/125轮-1;BUNKER-1/T600-1/单边履带组-1/单边履带支撑架-1/125带螺柱-2/125轮-1;BUNKER-1/T600-1/单边履带组-1/单边履带支撑架-1/125带螺柱-2/螺帽 +螺柱-1;BUNKER-1/T600-1/单边履带组-1/单边履带支撑架-1/上衬套长-2;BUNKER-1/T600-1/单边履带组-1/单边履带支撑架-1/125带螺柱-1/小小衬套-1;BUNKER-1/T600-1/单边履带组-1/单边履带支撑架-1/125带螺柱-2/小小衬套-1,坐标系1,基准轴1,wheel1_joint,revolute,0.44403,0.3495,-0.12853,1.5708,0,-3.1416,base_link,0,0,1,0,0,-180,180,,,,,,,,
wheel1.1_Link,-1.74279013442913E-08,5.87093572021469E-08,-0.0720000000000001,0,0,0,0.190328287901002,6.58750963981394E-05,-1.46558944641469E-09,-8.34967331718859E-12,6.58795984671517E-05,-2.4786046130206E-12,0.000112721820875598,0,0,0,0,0,0,package://bunker_11/meshes/wheel1.1_Link.STL,1,1,1,1,0,0,0,0,0,0,package://bunker_11/meshes/wheel1.1_Link.STL,,BUNKER-1/T600-1/单边履带组-1/单边履带支撑架-1/前从动支架总装-1/前从动支架-1/75轮带螺柱-1/75从动轮-1;BUNKER-1/T600-1/单边履带组-1/单边履带支撑架-1/前从动支架总装-1/前从动支架-1/75轮带螺柱-1/螺帽 +螺柱-1;BUNKER-1/T600-1/单边履带组-1/单边履带支撑架-1/上衬套-1;BUNKER-1/T600-1/单边履带组-1/单边履带支撑架-1/前从动支架总装-1/前从动支架-1/75轮带螺柱-1/小衬套-1;BUNKER-1/T600-1/单边履带组-1/单边履带支撑架-1/前从动支架总装-1/前从动支架-对称-1/75轮带螺柱-1/75从动轮-1;BUNKER-1/T600-1/单边履带组-1/单边履带支撑架-1/前从动支架总装-1/前从动支架-对称-1/75轮带螺柱-1/螺帽 +螺柱-1;BUNKER-1/T600-1/单边履带组-1/单边履带支撑架-1/前从动支架总装-1/前从动支架-对称-1/75轮带螺柱-1/小衬套-1,坐标系1.1,基准轴1.1,wheel1.1_jont,revolute,0.37551,0.3495,-0.22305,1.5708,0,-3.1416,base_link,0,0,1,0,0,-180,180,,,,,,,,
wheel1.2_Link,1.66533453693773E-16,4.16333634234434E-17,-0.0720000000000002,0,0,0,0.271192811687251,0.000179574259018481,1.15789498120549E-20,1.3563351843978E-21,0.000179574259018481,6.0369822309622E-23,0.000332594534732139,0,0,0,0,0,0,package://bunker_11/meshes/wheel1.2_Link.STL,1,1,1,1,0,0,0,0,0,0,package://bunker_11/meshes/wheel1.2_Link.STL,,BUNKER-1/T600-1/单边履带组-1/单边履带支撑架-1/前从动支架总装-1/前从动支架-1/102带螺柱-1/102轮-1;BUNKER-1/T600-1/单边履带组-1/单边履带支撑架-1/前从动支架总装-1/前从动支架-1/102带螺柱-1/螺帽 +螺柱-1;BUNKER-1/T600-1/单边履带组-1/单边履带支撑架-1/前从动支架总装-1/大衬套-1;BUNKER-1/T600-1/单边履带组-1/单边履带支撑架-1/前从动支架总装-1/前从动支架-对称-1/102带螺柱-1/小衬套-1;BUNKER-1/T600-1/单边履带组-1/单边履带支撑架-1/前从动支架总装-1/前从动支架-对称-1/102带螺柱-1/102轮-1;BUNKER-1/T600-1/单边履带组-1/单边履带支撑架-1/前从动支架总装-1/前从动支架-1/102带螺柱-1/小衬套-1;BUNKER-1/T600-1/单边履带组-1/单边履带支撑架-1/前从动支架总装-1/前从动支架-对称-1/102带螺柱-1/螺帽 +螺柱-1,坐标系1.2,基准轴1.2,wheel1.2_joint,revolute,0.29039,0.3495,-0.28104,1.5708,0,-3.1416,base_link,0,0,1,0,0,-180,180,,,,,,,,
wheel1.3_Link,3.44025652177504E-05,-2.66346274915008E-05,-0.0701504149473696,0,0,0,0.245835028330933,0.000105254202004996,1.32328029886322E-08,3.84294589102693E-11,0.000105248656147198,-1.41155611914915E-11,0.000173280771745758,0,0,0,0,0,0,package://bunker_11/meshes/wheel1.3_Link.STL,1,1,1,1,0,0,0,0,0,0,package://bunker_11/meshes/wheel1.3_Link.STL,,BUNKER-1/T600-1/单边履带组-1/单边履带支撑架-1/85轮带螺柱-6/85从动轮-1;BUNKER-1/T600-1/单边履带组-1/单边履带支撑架-1/85轮带螺柱-6/螺帽 +螺柱-1;BUNKER-1/lv-01-02-6;BUNKER-1/T600-1/单边履带组-1/单边履带支撑架-1/上衬套长-1;BUNKER-1/T600-1/单边履带组-1/单边履带支撑架-1/85轮带螺柱-1/85从动轮-1;BUNKER-1/T600-1/单边履带组-1/单边履带支撑架-1/85轮带螺柱-1/螺帽 +螺柱-1;BUNKER-1/T600-1/单边履带组-1/履带-车体 短衬套-2;BUNKER-1/T600-1/单边履带组-1/单边履带支撑架-1/85轮带螺柱-1/小小衬套-1;BUNKER-1/T600-1/单边履带组-1/单边履带支撑架-1/85轮带螺柱-6/小小衬套-1,坐标系1.3,基准轴1.3,wheel1.3_joint,revolute,0.29603,0.3495,-0.087,1.5708,0,-3.1416,base_link,0,0,-1,0,0,-180,180,,,,,,,,
wheel2_Link,-1.66533453693773E-16,0,0.072,0,0,0,0.392034219968119,0.000378440530116381,3.37302217863781E-21,2.71827270955143E-20,0.000378440530116381,-7.32821644893157E-21,0.000710150518820894,0,0,0,0,0,0,package://bunker_11/meshes/wheel2_Link.STL,1,1,1,1,0,0,0,0,0,0,package://bunker_11/meshes/wheel2_Link.STL,,BUNKER-1/T600-1/单边履带组 - 镜像-1/单边履带支撑架-1/125带螺柱-1/125轮-1;BUNKER-1/T600-1/单边履带组 - 镜像-1/单边履带支撑架-1/125带螺柱-1/螺帽 +螺柱-1;BUNKER-1/T600-1/单边履带组 - 镜像-1/单边履带支撑架-1/125带螺柱-2/125轮-1;BUNKER-1/T600-1/单边履带组 - 镜像-1/单边履带支撑架-1/125带螺柱-2/螺帽 +螺柱-1;BUNKER-1/T600-1/单边履带组 - 镜像-1/单边履带支撑架-1/125带螺柱-2/小小衬套-1;BUNKER-1/T600-1/单边履带组 - 镜像-1/单边履带支撑架-1/上衬套长-2;BUNKER-1/T600-1/单边履带组 - 镜像-1/单边履带支撑架-1/125带螺柱-1/小小衬套-1,坐标系2,基准轴2,wheel2_joint,revolute,0.44403,-0.3495,-0.12853,1.5708,0,-3.1416,base_link,0,0,-1,0,0,-180,180,,,,,,,,
